"var","rel.inf"
"STXBP5L","STXBP5L",0.0660119721362932
"RASGRP1","RASGRP1",0.0647267410247538
"ART3","ART3",0.062807618102908
"X2q37.3","X2q37.3",0.0624160877045698
"SCN2A","SCN2A",0.0618770587923746
"BTBD3","BTBD3",0.05926146053355
"BEND5","BEND5",0.0587104407609621
"CACHD1","CACHD1",0.0578147700314424
"ABCC8","ABCC8",0.0574488091831453
"PPP1R14C","PPP1R14C",0.0563562558262313
"LIFR","LIFR",0.0550258246044105
"`DLX6-AS1`","`DLX6-AS1`",0.0506177112161305
"MSX1","MSX1",0.0499659838519606
"ZFYVE21","ZFYVE21",0.0488671810969479
"GDAP1","GDAP1",0.048739823414958
"NQO2","NQO2",0.0464912806632586
"FAM168A","FAM168A",0.0462556838465674
"SLC35E3","SLC35E3",0.0456698290570871
"PLEKHH2","PLEKHH2",0.045479889393542
"METTL1","METTL1",0.0447697883029658
"FAM181A","FAM181A",0.0440516978560431
"FTH1","FTH1",0.0436586071548612
"TXNIP","TXNIP",0.0419637480222276
"FAM213A","FAM213A",0.0405826187863024
"CRISPLD1","CRISPLD1",0.0392645720157625
"NEK7","NEK7",0.0391988316288267
"GABRB2","GABRB2",0.0391255643927386
"ABCG2","ABCG2",0.0387796264934844
"TPM4","TPM4",0.0387179574816719
"LONRF2","LONRF2",0.0386849359177952
"PPARGC1A","PPARGC1A",0.0386230356938283
"PERP","PERP",0.0375950817439857
"CDKN1A","CDKN1A",0.035763689516804
"SEZ6L2","SEZ6L2",0.0356630396736178
"GMFG","GMFG",0.0354244303535513
"MARVELD1","MARVELD1",0.0352185221225948
"STAT5A","STAT5A",0.0337546653013173
"CX3CL1","CX3CL1",0.0333164010822227
"MSANTD2","MSANTD2",0.0317691123296977
"MMP14","MMP14",0.0317225271633626
"CPNE6","CPNE6",0.0296819697389045
"CHAC2","CHAC2",0.0295707828045507
"CTNNAL1","CTNNAL1",0.0286188361609824
"X18q22.2","X18q22.2",0.0282358646774491
"PRR36","PRR36",0.0281469120649294
"CDCA7L","CDCA7L",0.0278292558354915
"IL1B","IL1B",0.0264450087560645
"STAB1","STAB1",0.0257200773336026
"X19q12","X19q12",0.0255013520831964
"X22q13.2","X22q13.2",0.025324751367871
"GALNS","GALNS",0.0238483767609317
"USP9Y","USP9Y",0.0223840942997608
"X13q12.11","X13q12.11",0.0222315373965
"WASHC4","WASHC4",0.0221293886018117
"SLCO1C1","SLCO1C1",0.0215722571957443
"ARAP3","ARAP3",0.0214270538576059
"DNM1","DNM1",0.0211635926242786
"VAV3","VAV3",0.0209088030573313
"ENO2","ENO2",0.0207851039142555
"YWHAH","YWHAH",0.0207779393964074
"TM4SF1","TM4SF1",0.0207060460623011
"SOCS6","SOCS6",0.0206071603190856
"IGFBP2","IGFBP2",0.0204824266745678
"KAT2B","KAT2B",0.0197967663650751
"TCTN1","TCTN1",0.0192809048761395
"GPC1","GPC1",0.0189950184547544
"TAGLN2","TAGLN2",0.0189101146783077
"NAT8L","NAT8L",0.0187515868849204
"DCUN1D1","DCUN1D1",0.018103573948494
"X12q21.33","X12q21.33",0.018074150634721
"METTL7A","METTL7A",0.0180211040176605
"SLITRK5","SLITRK5",0.0177773423588372
"HSBP1L1","HSBP1L1",0.0166036379772157
"RASD2","RASD2",0.0154284124583899
"CTDSP2","CTDSP2",0.0152080402602263
"SLC39A1","SLC39A1",0.0148433680165812
"ABCA8","ABCA8",0.0147558399752037
"RFLNB","RFLNB",0.0145681639295929
"CNTN1","CNTN1",0.0137448172142113
"SLC26A10","SLC26A10",0.0136709385301485
"SLC24A3","SLC24A3",0.012695687664188
"HSDL2","HSDL2",0.0125934103459856
"LCP2","LCP2",0.0125216409380477
"BMPR1B","BMPR1B",0.0123948903163972
"LOC100506922","LOC100506922",0.0122236402006966
"REL","REL",0.0121947309595786
"CFAP126","CFAP126",0.0118776050672756
"ESPL1","ESPL1",0.0118295002303909
"LAMA1","LAMA1",0.0117787521461525
"X1q32.2","X1q32.2",0.0115699478132529
"X2q34","X2q34",0.0114047557481376
"C2orf88","C2orf88",0.0113593474444367
"RASD1","RASD1",0.0112566593786998
"RIN2","RIN2",0.0108512753233552
"LGALS3","LGALS3",0.0107881941548665
"EYA2","EYA2",0.0107873054749254
"NPPA","NPPA",0.0107153999124044
"X6q14.1","X6q14.1",0.0100881589451988
"X6q22.32","X6q22.32",0.00987827592530271
"CEP126","CEP126",0.00976208754106573
"MGLL","MGLL",0.00964305050395671
"X3q27.3","X3q27.3",0.00944567468383463
"RNF175","RNF175",0.00909390975034698
"SIK3","SIK3",0.00835077637472648
"EPDR1","EPDR1",0.0083224985412674
"PSAT1","PSAT1",0.00793232332468121
"CACNG2","CACNG2",0.00788384882534161
"FRZB","FRZB",0.00759476214231907
"SNHG17","SNHG17",0.00750430844769788
"PPFIA4","PPFIA4",0.00742473568393619
"AURKB","AURKB",0.00740087370484386
"EMP1","EMP1",0.00719462132349265
"TPPP","TPPP",0.00716452855452802
"IPCEF1","IPCEF1",0.00687321727729331
"LEPR","LEPR",0.00658627258809155
"NPC1","NPC1",0.00643728748492745
"STEAP2","STEAP2",0.00621287544942381
"CCL4","CCL4",0.00598459910797716
"HOTAIRM1","HOTAIRM1",0.00591207441470556
"X10q11.22","X10q11.22",0.00581783648984043
"SLC16A10","SLC16A10",0.00538770776691126
"`TMEM161B-AS1`","`TMEM161B-AS1`",0.00531977176881454
"CHPF2","CHPF2",0.00529182830588715
"CDC42EP3","CDC42EP3",0.00526279514972251
"X11p15.2","X11p15.2",0.00519543314076615
"X11p15.4","X11p15.4",0.00515396157102096
"GRAMD1C","GRAMD1C",0.00502190042951745
"FAM110C","FAM110C",0.00501748109520901
"RNF19A","RNF19A",0.00493460959350597
"SLITRK3","SLITRK3",0.00448837730183574
"KCNIP1","KCNIP1",0.00434505955990677
"SNORA64","SNORA64",0.00430843474695812
"CPM","CPM",0.00430314550558787
"RARRES3","RARRES3",0.00423739315844266
"X7p22.1","X7p22.1",0.00407576644784244
"TTC7B","TTC7B",0.00404718059667637
"X4q21.21","X4q21.21",0.00403239964616585
"PCDHB6","PCDHB6",0.00349196909193074
"DSEL","DSEL",0.00343186715180483
"ADCYAP1R1","ADCYAP1R1",0.00338217373912017
"CTNNA2","CTNNA2",0.00337334333515918
"GABRA4","GABRA4",0.00332257988227565
"FABP7","FABP7",0.00329815798481031
"X18q12.3","X18q12.3",0.00322232032518769
"DTX4","DTX4",0.00305678916889523
"KISS1R","KISS1R",0.00304299345845878
"ELMOD1","ELMOD1",0.00293009225120369
"IGF1R","IGF1R",0.00279875659492405
"LURAP1L","LURAP1L",0.00277898618075254
"ST6GALNAC3","ST6GALNAC3",0.00272131659574736
"KLHL28","KLHL28",0.00264104637769959
"FBXW4","FBXW4",0.00261612965587595
"CAVIN2","CAVIN2",0.00260439414144634
"X8p23.2","X8p23.2",0.00246046567291157
"X1q21.1","X1q21.1",0.00245090217040625
"LOC440434","LOC440434",0.00233641315058859
"LHFPL2","LHFPL2",0.00233153935185906
"CPLX1","CPLX1",0.00214763053952699
"ATF3","ATF3",0.0021362757454958
"C1orf198","C1orf198",0.00202458919287779
"PCDHB14","PCDHB14",0.00191531188007183
"MRAP2","MRAP2",0.00186843779493763
"SNPH","SNPH",0.0017659177225616
"ACYP2","ACYP2",0.00171901009466644
"X6p21.32","X6p21.32",0.00169501640717625
"COL5A1","COL5A1",0.00152589048488195
"MDK","MDK",0.00147229016664637
"DUSP5","DUSP5",0.00147032200234351
"X8q21.3","X8q21.3",0.00140305994316467
"X1p35.1","X1p35.1",0.0013424837221498
"ASIC3","ASIC3",0.00128321031650892
"GPM6B","GPM6B",0.00126176778668471
"X12q13.2","X12q13.2",0.0012599124810578
"X8p11.23","X8p11.23",0.00120920902683111
"EFHD1","EFHD1",0.00115767030928376
"DDIT4L","DDIT4L",0.00109335961437856
"SSX2IP","SSX2IP",0.00105365659237447
"`NFIA-AS2`","`NFIA-AS2`",0.00102005997427293
"MEIS1","MEIS1",0.00101056319379272
"NXT2","NXT2",0.00100882025093487
"NRGN","NRGN",0.000946834419194319
"SHC3","SHC3",0.00087242463702011
"IER5L","IER5L",0.000838452574210697
"PRSS23","PRSS23",0.00079536694577148
"SLC47A2","SLC47A2",0.00076244116547707
"MT1G","MT1G",0.000758037668206625
"NPNT","NPNT",0.00073308758494321
"PLSCR4","PLSCR4",0.000729141958378382
"VLDLR","VLDLR",0.000660358202155117
"IER2","IER2",0.000648250619581272
"ANXA4","ANXA4",0.000647560988567749
"X12q14.3","X12q14.3",0.000642186384381667
"ZNF112","ZNF112",0.000631411325051791
"CSRP2","CSRP2",0.000602131984311097
"RASGEF1C","RASGEF1C",0.000575612278143268
"KDELR1","KDELR1",0.000497284182937665
"ITGA3","ITGA3",0.000427558561011101
"COL6A3","COL6A3",0.00024098355644762
"PDIA2","PDIA2",0.000224083993527665
